pais,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2024,2025,2026,2027,2028
Australia,2.9,4.1,0.1,-0.5,6.3,5.5,2.4,4.9,4.3,4.6,1.5,-1.0,2.6,3.9,4.8,3.0,4.0,4.6,4.6,4.4,3.1,2.7,4.2,3.0,4.1,3.0,2.6,4.4,2.5,1.9,2.4,2.8,3.8,2.2,2.6,2.3,2.7,2.4,2.8,1.9,-1.8,5.2,3.7,1.6,1.7,2.1,2.2,2.3,2.3,3.56065879077018,2.7071773130040695,3.2300990683143533,2.909708797054449,3.106009533972702
Austria,2.3,-0.1,1.9,2.8,0.3,2.2,2.3,1.7,1.0,3.9,4.3,3.4,2.1,0.5,2.4,2.7,2.4,2.1,3.6,3.6,3.4,1.3,1.7,0.9,2.7,2.2,3.5,3.7,1.5,-3.8,1.8,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.4,1.5,-6.5,4.6,5.0,0.4,1.1,1.8,1.7,1.7,1.5,1.9069107204869302,1.8054104025570685,1.8919888099875914,1.8181385917214246,1.8811318356470197
Azerbaijan,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,-23.1,-19.7,-13.0,2.5,8.9,6.0,11.4,6.2,6.5,9.4,10.2,9.3,28.0,34.5,25.5,10.6,9.4,4.8,-1.6,2.2,5.8,2.8,1.0,-3.1,0.2,1.5,2.5,-4.2,5.6,4.6,3.0,2.6,2.5,2.5,2.6,2.6,3.305989384544522,3.6765431215794444,3.902266867105628,4.039767057232082,4.123525645592992
"Bahamas, The",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.3,2.3,1.1,-4.2,-3.8,0.3,3.1,4.4,4.2,4.9,4.7,7.1,4.1,2.6,2.7,-1.3,0.9,3.4,2.5,1.4,-2.3,-4.2,1.5,0.6,3.1,-2.9,1.8,1.0,-0.9,3.1,1.8,1.9,-23.8,13.7,11.0,4.3,1.8,1.6,1.6,1.5,1.5,2.40183455550153,2.315176839003528,2.240420754979451,2.1759317247527683,2.120299663846013
Bahrain,7.5,2.8,6.4,7.0,4.2,-0.9,0.5,-1.2,6.0,1.0,3.5,2.3,7.1,7.6,3.2,1.9,3.2,2.3,4.8,6.0,7.0,2.5,3.3,6.3,7.0,6.8,6.5,8.3,6.2,2.5,4.3,2.0,3.7,5.4,4.4,2.5,3.6,4.3,2.1,2.2,-4.6,2.7,4.2,3.0,3.8,3.2,2.7,2.7,2.7,3.6309624988185827,3.811515329942817,3.881672630388957,3.908933608659097,3.919526389902377
Bangladesh,3.3475344493793417,3.8,2.4,4.0,5.2,3.2,4.2,3.7,2.2,2.6,5.9,3.3,5.0,4.6,4.1,4.9,4.6,4.5,5.2,4.7,5.3,5.1,3.8,4.7,5.2,6.5,6.7,7.1,6.0,5.0,5.6,6.5,6.5,6.0,6.1,6.6,7.1,6.6,7.3,7.9,3.4,6.9,7.1,5.5,6.5,7.1,7.3,7.4,7.0,6.2933377842735485,6.245517614290671,6.248400079619466,6.248226332717799,6.248236805692283
Barbados,4.4,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-5.7,0.8,2.0,2.0,4.0,4.7,3.7,0.3,4.5,-2.4,0.8,2.2,1.4,4.0,5.7,2.2,0.7,-5.1,-2.3,-0.7,-0.4,-1.4,-0.1,2.4,2.5,0.5,-0.6,-0.5,-13.3,-0.2,10.0,4.9,3.9,2.8,2.3,2.0,2.0,1.288702788578588,0.8210886239852172,0.8879264578326392,0.878373077350035,0.8797385775973013
Belarus,3.3475344493793417,3.3475344493793417,4.0,4.3,3.0,1.7,3.6,2.8,5.3,3.0,-2.3,-1.2,-9.6,-7.6,-11.7,-11.1,2.8,11.4,8.4,3.4,5.8,4.7,5.0,7.0,11.4,9.5,10.0,8.6,10.2,0.2,7.8,5.3,1.6,1.0,1.7,-3.8,-2.5,2.5,3.1,1.4,-0.7,2.3,-4.7,0.7,1.2,1.0,0.7,0.6,0.7,1.4223244670458652,1.7516610015544698,1.9662037458950767,2.1059653099070297,2.1970114780498977
Belgium,4.4,-0.3,0.6,0.3,2.5,1.7,1.8,2.3,4.7,3.5,3.1,1.8,1.5,-1.0,3.2,2.4,1.3,3.8,2.0,3.5,3.7,1.1,1.7,1.0,3.6,2.3,2.6,3.7,0.4,-2.0,2.9,1.7,0.7,0.5,1.6,2.0,1.3,1.6,1.8,2.2,-5.4,6.1,3.1,0.7,1.1,1.2,1.2,1.2,1.3,1.9272614226965468,1.8833375629083247,1.868240147228653,1.8630508956168008,1.8612672570880313
Belize,5.0,0.2,-7.6,6.1,11.3,-1.4,7.3,22.0,10.9,15.5,11.2,11.5,12.0,6.3,0.2,0.6,1.1,3.6,3.9,9.0,13.0,5.0,5.1,9.3,4.6,2.4,4.4,3.3,-1.5,-0.4,1.3,-0.1,3.9,4.5,4.1,3.4,0.1,-1.7,1.1,4.5,-13.4,15.2,11.4,3.0,2.0,2.0,2.0,2.0,2.0,5.079135249015632,4.967037524680433,4.895577164059655,4.850022420015238,4.820982058520771
Benin,9.3,1.9,1.7,-2.0,0.4,4.3,2.7,-2.1,3.4,-2.8,9.0,4.2,3.0,5.8,2.0,6.0,4.3,5.7,4.0,4.4,5.9,5.3,4.6,3.4,4.4,1.7,3.9,6.0,4.9,2.3,2.1,3.0,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9,3.8,7.2,6.0,6.0,5.9,6.1,6.0,6.0,5.9,5.340245790928574,5.355143604126455,5.35480719878788,5.3548147951075755,5.354814623576193
Bhutan,5.0,13.6,8.2,7.3,7.6,4.3,8.0,20.2,15.1,6.2,9.1,4.9,2.1,3.2,2.2,6.0,6.0,5.5,6.0,7.1,6.9,7.0,9.5,9.3,6.9,6.7,7.1,12.9,11.0,5.8,9.5,9.9,6.5,3.6,4.0,6.2,7.4,6.3,3.8,4.4,-2.3,-3.3,4.3,4.7,3.4,5.4,7.2,4.0,3.9,5.377377204577876,5.735654839691921,5.925154667786822,6.025384716577244,6.07839828804866
Bolivia,0.6,0.3,-3.9,-4.0,-0.2,-1.7,-2.6,2.5,2.9,3.8,4.6,5.3,1.6,4.3,4.7,4.7,4.4,5.0,5.0,0.4,2.5,1.7,2.5,2.7,4.2,4.4,4.8,4.6,6.1,3.4,4.1,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2,-8.7,6.1,3.2,1.8,1.9,2.1,2.2,2.3,2.3,2.2910295177959723,2.342380147491197,2.383884877432315,2.417431547019609,2.444546023899608
Bosnia and Herzegovina,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,20.7,62.2,22.9,13.8,10.7,4.4,2.4,5.1,3.9,6.3,4.2,5.7,6.0,5.6,-0.8,0.8,0.9,-0.7,2.4,1.1,4.3,3.2,3.2,3.8,2.9,-3.0,7.4,3.8,2.0,3.0,3.0,3.0,3.0,3.0,3.913465331296755,5.072688417543349,5.481483040092529,5.625642559867291,5.676479743125958
Botswana,12.0,8.2,15.9,10.8,6.5,7.7,8.6,14.9,23.4,4.7,8.8,6.2,-0.2,4.0,-0.8,8.5,2.5,7.1,-1.6,8.0,4.3,2.3,7.4,5.4,1.4,5.0,6.0,5.8,3.3,-14.1,10.1,6.8,-0.2,11.1,5.7,-4.9,7.2,4.1,4.2,3.0,-8.7,11.8,6.4,3.7,4.3,4.0,4.0,4.0,4.0,4.730791909230838,4.8212453589952045,4.90455817861382,4.9812940679677995,5.051972227006248
Brazil,9.2,-4.4,0.6,-3.4,5.3,7.9,7.5,3.6,0.3,3.2,-4.2,1.0,-0.5,4.7,5.3,4.4,2.2,3.4,0.3,0.5,4.4,1.4,3.1,1.1,5.8,3.2,4.0,6.1,5.1,-0.1,7.5,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.2,-3.3,5.0,2.9,0.9,1.5,1.9,2.0,2.0,2.0,2.137387786512863,2.2641587982579696,2.299302018938415,2.309044356266113,2.311745108637949
Brunei Darussalam,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,-2.7,2.0,1.1,-1.1,1.1,3.1,4.8,0.3,3.1,4.5,2.9,-1.5,-0.6,3.1,2.9,2.7,3.9,2.9,0.5,0.4,4.4,0.2,-1.9,-1.8,2.6,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.5,3.3,3.5,3.1,2.4,3.2,3.1,1.529611500369462,1.0576576907720976,0.9318432729536646,0.8983034065322122,0.889362279918311
Bulgaria,5.7,5.3,4.2,3.0,4.6,1.8,5.3,4.7,2.4,-0.5,-9.1,-10.8,-8.4,-11.6,-3.7,-1.6,-8.0,-14.1,3.8,-8.4,4.6,3.8,5.9,5.2,6.5,7.1,6.8,6.7,6.1,-3.3,1.5,2.1,0.8,-0.6,1.0,3.4,3.0,2.8,2.7,4.0,-4.0,7.6,3.4,1.4,3.5,2.9,2.8,2.8,2.8,2.7669204881903076,2.308158528984052,2.462126910490571,2.4104524810222836,2.427795305794134
Burkina Faso,4.0,2.7,1.4,-1.2,1.6,11.3,8.0,-0.2,5.8,2.2,-0.6,9.1,0.2,3.5,1.3,5.7,11.0,6.3,7.3,7.3,1.9,6.6,4.4,7.8,4.5,8.7,6.3,4.1,5.8,3.0,8.4,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.7,1.9,6.9,2.5,4.9,5.9,5.8,5.3,5.2,5.2,4.90111880073416,4.907104925442063,4.908026624425993,4.908168540783976,4.908190392009826
Burundi,-6.8,12.2,-1.1,3.7,0.2,11.8,3.2,5.5,5.0,1.3,3.5,5.8,1.0,-6.2,-3.8,-7.9,-8.0,0.4,4.8,1.2,1.8,1.7,2.4,2.5,3.8,4.4,5.4,3.5,4.9,3.8,5.1,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8,0.3,3.1,1.8,3.3,6.0,5.9,5.7,5.9,5.5,2.2830593087837885,2.1887138530261776,2.1263170539578793,2.0850499838832772,2.0577573807694853
Cabo Verde,5.3,8.4,2.8,9.5,3.8,8.6,2.9,4.3,6.0,5.7,0.7,1.4,3.0,7.3,6.9,7.5,6.7,7.6,8.4,11.9,7.3,6.1,5.3,7.5,4.9,5.8,9.1,9.2,6.7,-1.3,1.5,4.0,1.1,0.8,0.6,1.0,4.7,3.7,14.6,5.7,-14.8,7.0,10.5,4.4,5.4,5.3,5.0,4.5,4.5,5.340886279834295,4.960187138213538,5.133423614708343,5.054592660005978,5.090464547642025
Cambodia,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,3.3475344493793417,9.6,3.3,1.1,7.6,7.1,4.0,8.2,6.0,5.9,4.0,4.7,12.7,9.6,8.6,6.6,8.5,10.3,13.3,10.8,10.2,6.7,0.1,6.0,7.1,7.3,7.4,7.1,7.0,6.9,7.0,7.5,7.1,-3.1,3.0,5.0,5.8,6.2,6.4,6.5,6.2,6.3,5.399719737890943,5.284373783725846,5.251135349554361,5.241557263229887,5.238797213307987
Cameroon,9.9,17.1,7.6,6.8,7.5,8.1,6.8,-2.2,-7.9,-1.8,-6.2,-3.8,-3.1,-3.2,-2.5,3.3,4.9,5.3,4.9,4.1,3.4,3.4,4.8,5.0,6.6,1.2,3.5,4.1,2.9,2.6,2.9,3.5,4.5,5.0,5.8,5.6,4.5,3.5,4.0,3.4,0.5,3.6,3.4,4.3,4.4,4.5,4.6,4.7,4.7,4.151086529793579,4.077668679693121,4.0217108203976695,3.9790606745183625,3.9465534455709173
Canada,2.2,3.5,-3.2,2.6,5.9,4.7,2.1,4.1,4.4,2.3,0.2,-2.1,0.9,2.7,4.5,2.7,1.6,4.3,3.9,5.2,5.2,1.8,3.0,1.8,3.1,3.2,2.6,2.1,1.0,-2.9,3.1,3.1,1.8,2.3,2.9,0.7,1.0,3.0,2.8,1.9,-5.1,5.0,3.4,1.5,1.5,2.2,1.9,1.7,1.7,2.8812715470456585,1.8126624858899412,2.678785933365733,1.9767800702898293,2.545766204113113
