;País;RMSE;MAE;MAPE
82;Israel;0,7798848707207239;0,7588808358325758;22,549617475021236
83;Italy;0,38580684257763614;0,3590211734163338;34,577661159965366
84;Jamaica;0,49884920628320095;0,4371952630640127;26,03484026111949
85;Japan;0,7222423352178323;0,6473746811040093;142,98291572869076
86;Jordan;0,8600939423096342;0,8554896378844058;29,10112338576809
87;Kazakhstan;1,241504625999894;1,04683844452645;46,40465904974424
88;Kenya;1,5386080623145257;1,52750306050477;27,850869653406953
89;Kiribati;0,9106569296200899;0,872396357533777;39,22512479742795
90;Korea, Republic of;0,08680016572690032;0,0742999814072908;3,297683290279431
91;Kosovo;0,3018917913646159;0,21645124696337614;5,739340299630316
92;Kuwait;0,8597060715548513;0,6910803645640328;25,93387709381183
93;Kyrgyz Republic;1,2061022070541936;1,2045625439821221;30,39900678063277
94;Lao P.D.R.;1,8828744249771436;1,8781048844618513;44,68425893058363
95;Latvia;0,6729888647154502;0,6278514759070751;19,536205589013555
96;Lebanon;0,8314047110188532;0,7607087248978646;22,72444799003953
97;Lesotho;0,9916298034411576;0,8045578499792387;62,18238639366701
98;Liberia;2,559050246295072;2,5516589635904134;45,18414824774135
99;Libya;8,095338599428118;7,010901475619207;107,188933439111
100;Lithuania;1,4727580403387581;1,4463242302310952;62,392713673165545
101;Luxembourg;0,9338183033670515;0,9042064766084114;41,44902583485585
102;Macao SAR;27,71344651857211;26,35447017404125;457,12820508626555
103;Madagascar;2,733464757293925;2,72785651833317;58,48529824511146
104;Malawi;0,7793788331720565;0,6434531877015391;14,651048667699564
105;Malaysia;1,3277390669153546;1,2364031508374587;29,98056217347953
106;Maldives;1,6015623744903056;1,4852148770423796;26,850119004204625
107;Mali;1,2039427219872088;1,1995111609259406;23,491855592535764
108;Malta;0,6398556349847294;0,6359274239014274;17,993235480171606
109;Marshall Islands;0,6042385147009485;0,5748442601694895;36,42463217430887
110;Mauritania;2,0665255656552546;1,464682384463861;25,75745857781434
111;Mauritius;1,137829353429219;0,9927680746002949;27,874272214674196
112;Mexico;1,5134787631751505;1,4728476615474253;83,85321357851959
113;Micronesia, Fed. States of;0,670728058736171;0,6436079075681691;77,436606877918
114;Moldova;4,853799617762019;4,847925164665861;99,0246296762123
115;Mongolia;0,9000573768727941;0,812139364216115;14,62053774799772
116;Montenegro;0,11413590634512752;0,11387531284386512;3,7958437614621707
117;Morocco;0,5526904924889712;0,4578471691143662;14,409429069971253
118;Mozambique;7,1100954070706095;5,46140898011962;45,2257711496895
119;Myanmar;0,9846731198389032;0,8938543646877399;31,78358766919185
120;Namibia;0,5425551184890729;0,5397706928818682;20,760411264687235
121;Nauru;2,73702475366533;2,686680457463404;121,91017447077033
122;Nepal;0,6861996078456334;0,6788354564802223;13,09066949614111
123;Netherlands;0,5156340122079308;0,5135782406101039;35,29772537649555
124;New Zealand;0,6834101573547665;0,35776862420912237;40,22866546544752
125;Nicaragua;0,9796379493755787;0,9616129714667381;27,68235668897366
126;Niger;3,3289025277599937;1,893700197220253;17,97356567209603
127;Nigeria;0,6843708173304345;0,6698884145094641;22,32961381698214
128;North Macedonia ;1,4330868095285336;1,4248188283909582;38,21429768330997
129;Norway;0,84525866490626;0,7848238800759592;52,83836194560515
130;Oman;1,8400950332296773;1,8272152154197066;64,08220831047404
131;Pakistan;0,31136234633047793;0,27017800729487035;5,829927057321038
132;Palau;1,9671886598079311;1,8586365967439673;40,27238567483022
133;Panama;0,6619775159167345;0,6558157272293149;16,395393180732874
134;Papua New Guinea;0,5103502271877866;0,4275186157721918;11,999523580579744
135;Paraguay;0,4409748421010846;0,34408124425795056;9,830892693084303
136;Peru;0,22730618339949699;0,22534644397275772;7,511548132425258
137;Philippines;2,259607686110419;2,22245127353296;35,89759175645523
138;Poland;1,0611311473868348;1,0058353410401317;32,62076960887882
139;Portugal;0,20204932775123446;0,1821752864228919;9,652987663129469
140;Puerto Rico;2,1574640887766905;2,1032370635404014;293,59815790194773
141;Qatar;0,5239528451485307;0,4470540098056933;18,129628734832192
142;Romania;1,7085347277159886;1,7060472653579766;46,58111520864253
143;Russian Federation;0,4845335044135252;0,4371356453009203;52,43098610466597
144;Rwanda;2,383191531010734;2,067489100165977;29,29336891554578
145;Saint Kitts and Nevis;0,8186491206453357;0,7237912710247018;26,31108964640832
146;Saint Lucia;1,477946431127177;1,4309512602613084;85,32329916944512
147;Saint Vincent and the Grenadines;0,8477293898361803;0,681940730208031;17,973755295920153
148;Samoa;1,5409500510427137;1,3796165643487388;44,161822758161364
149;San Marino;0,8566483169655097;0,8480962478954351;70,26701275718854
